annex,entry_seq,ref_no,ref_inferred,status,amended_by,mid_amendments,pages,chemical_name,colour_index,inci_name,cas,ec,colour,product_type,max_concentration,other,wording,needs_review
IV,52,52,0,active,▼B,,394,"Tetrasodium 6-amino-4-
hydroxy-3-[[7-sulphonato-4-
[(4-sulphonatophenyl)azo]-1-
naphthyl]azo]naphthalene-2,7-
disulphonate",27755,,,,Black,,,,,0
IV,53,53,0,active,▼B,,394,"Tetrasodium 1-acetamido-2-
hydroxy-3-(4-((4-sulphonatophenylazo)-7-sulphonato-1-
naphthylazo))naphthalene-4,6-
disulphonate",28440,,,219-746-5,Black,,,"Purity criteria as set out in
Commission Directive 95/
45/EC (E 151)",,0
IV,54,54,0,active,▼B,,394,"Benzenesulfonic acid, 2,2'-
(1,2-ethenediyl)bis[5-nitro-,
disodium salt, reaction
products with 4-[(4-aminophenyl)azo] benzenesulfonic
acid, sodium salts",40215,,,,Orange,Rinse-off products,,,,0
IV,55,55,0,active,▼B,,395,beta Carotene,40800,,,230-636-6,Orange,,,"Purity criteria as set out in
Commission Directive 95/
45/EC (E160a)",,0
IV,56,56,0,active,▼B,,395,8'-apo-.beta.-Caroten-8'-al,40820,,,,Orange,,,"Purity criteria as set out in
Commission Directive 95/
45/EC (E 160e)",,0
IV,57,57,0,active,▼B,,395,"Ethyl 8'-apo-.beta.-caroten-8'-
oate",40825,,,214-173-7,Orange,,,"Purity criteria as set out in
Commission Directive 95/
45/EC (E 160f)",,0
IV,58,58,0,active,▼B,,395,Canthaxanthin,40850,,,208-187-2,Orange,,,"Purity criteria as set out in
Commission Directive 95/
45/EC (E 161g)",,0
IV,59,59,0,active,▼B,,395,"Ammonium, (4-(alpha-(p-(diethylamino)phenyl)-2,4-disulfobenzylidene)-2,5-cyclohexadien-1-ylidene)diethyl-,
hydroxide, monosodium salt",42045,,,,Blue,"Not to be used in products
applied on mucous
membranes",,,,0
IV,60,60,0,active,▼B,,396,"Ethanaminium, N-(4-((4-(diethylamino)phenyl)(5-hydroxy-
2,4-disulfophenyl)methylene)-
2,5-cyclohexadien-1-ylidene)-
N-ethyl-, hydroxide, inner salt,
calcium salt (2:1) and its
insoluble barium, strontium
and zirconium lakes, salts and
pigments",42051,,,222-573-8,Blue,,,"Purity criteria as set out in
Commission Directive 95/
45/EC (E 131)",,0
IV,61,61,0,active,▼B,,396,"Benzene-methanaminium, N-
ethyl-N-(4-((4-(ethyl((3-sulfophenyl)methyl)amino) phenyl)
(4-hydroxy-2-sulfophenyl)
methylene)-2,5-cyclohexadien-
1-ylidene)-3-sulfo-, hydroxide,
inner salt, disodium salt",42053,,,,Green,,,,,0
IV,62,62,0,active,▼B,,396,"Hydrogen (benzyl)[4-[[4-
[benzylethylamino]phenyl]
(2,4-disulphonatophenyl)
methylene]cyclohexa-2,5-dien-
1-ylidene](ethyl)ammonium,
sodium salt",42080,,,,Blue,Rinse-off products,,,,0
IV,63,63,0,active,▼B,,397,"Benzene-methanaminium, N-
ethyl-N-(4-((4-(ethyl((3-sulfophenyl)methyl)amino) phenyl)
(2-sulfophenyl)methylene)-2,5-
cyclohexadien-1-ylidene)-3-
sulfo-, hydroxide, inner salt,
disodium salt",42090,,,223-339-8,Blue,,,"Purity criteria as set out in
Commission Directive 95/
45/EC (E 133)",,0
IV,64,64,0,active,▼B,,397,"Hydrogen [4-[(2-chlorophenyl)
[4-[ethyl(3-sulphonatobenzyl)
amino]phenyl]methylene]
cyclohexa-2,5-dien-1-ylidene]
(ethyl)(3-sulphonatobenzyl)
ammonium, sodium salt",42100,,,,Green,Rinse-off products,,,,0
IV,65,65,0,active,▼B,,397,"Hydrogen [4-[(2-chlorophenyl)
[4-[ethyl(3-sulphonatobenzyl)
amino]-o-tolyl]methylene]-3-
methylcyclohexa-2,5-dien-1-
ylidene](ethyl)(3-sulphonatobenzyl)ammonium, sodium
salt",42170,,,,Green,Rinse-off products,,,,0
