annex,entry_seq,ref_no,tier_seq,tier,tier_source,product_type,max_concentration,max_conc_value,max_conc_unit,max_conc_basis,all_conc_values,other,wording
III,236,230,1,,none,"Hair dye
substance in
oxidative hair dye
products",,,,,,"After mixing under
oxidative conditions the
maximum concentration
applied to hair must not
exceed 1,0 %
— Do not use with nitrosating agents
— Maximum nitrosamine
content: 50 μg /kg
— Keep in nitrite-free
containers","To be printed on the label:
The mixing ratio.
‘ Hair colourants can cause
severe allergic reactions.
Read and follow instructions.
This product is not intended for use
on persons under the age of 16.
Temporary “black henna” tattoos
may increase your risk of allergy.
Do not colour your hair if:
— you have a rash on your face or
sensitive, irritated and damaged
scalp,
— you have ever experienced any
reaction after colouring your
hair,
— you have experienced a reaction
to a temporary “black henna”
tattoo in the past.’"
III,237,231,1,,none,"Hair dye substance
in non-oxidative
hair dyes products","0,1 %",0.1,%,,,"— Do not use with nitrosating agents
— Maximum nitrosamine
content: 50 μg /kg
— Keep in nitrite-free
containers",
III,238,232,1,,none,"Hair dye
substance in
oxidative hair dye
products",,,,,,"After mixing under
oxidative conditions the
maximum concentration
applied to hair must not
exceed 0,25 % (as hydrochloride)","To be printed on the label:
The mixing ratio.
‘ Hair colourants can cause
severe allergic reactions.
Read and follow instructions.
This product is not intended for use
on persons under the age of 16.
Temporary “black henna” tattoos
may increase your risk of allergy.
Do not colour your hair if:
— you have a rash on your face or
sensitive, irritated and damaged
scalp,
— you have ever experienced any
reaction after colouring your
hair,
— you have experienced a reaction
to a temporary “black henna”
tattoo in the past.’"
III,239,233,1,,none,"Hair dye substance
in non-oxidative
hair dye products","1,0 %",1.0,%,,,"— Do not use with nitrosating agents
— Maximum nitrosamine
content: 50 μg /kg
— Keep in nitritefree
containers","To be printed on the label:
The mixing ratio.
‘ Hair colourants can cause
severe allergic reactions.
Read and follow instructions.
This product is not intended for use
on persons under the age of 16.
Temporary “black henna” tattoos
may increase your risk of allergy.
Do not colour your hair if:
— You have a rash on your face or
sensitive, irritated and damaged
scalp.
— You have ever experienced any
reaction after colouring your
hair.
— You have experienced a
reaction to a temporary “black
henna” tattoo in the past.’"
III,240,234,1,a,label,"(a) Hair dye
substance in
oxidative hair
dye products",,,,,,"(a) After mixing under
oxidative conditions the
maximum concentration
applied to hair must not
exceed 0,25 %
For (a) and (b)
— Do not use with nitrosating agents
— Maximum nitrosamine
content: 50 μg /kg
— Keep in nitrite-free
containers","(a) To be printed on the label:
The mixing ratio.
‘ Hair colourants can cause
severe allergic reactions.
Read and follow instructions.
This product is not intended for
use on persons under the age
of 16.
Temporary “black henna”
tattoos may increase your risk
of allergy.
Do not colour your hair if:
— you have a rash on your face
or sensitive, irritated and
damaged scalp,
— you have ever experienced
any reaction after colouring
your hair,
— you have experienced a
reaction to a temporary
“black henna” tattoo in the
past.’"
III,240,234,2,b,label,"(b) Hair dye
substance in
non-oxidative
hair dye
products","(b) 0,28 %",0.28,%,,,,"(b) ‘ Hair colourants can cause
severe allergic reactions.
Read and follow instructions.
This product is not intended for
use on persons under the age
of 16.
Temporary “black henna”
tattoos may increase your risk
of allergy.
Do not colour your hair if:
— you have a rash on your face
or sensitive, irritated and
damaged scalp,
— you have ever experienced
any reaction after colouring
your hair,
— you have experienced a
reaction to a temporary
“black henna” tattoo in the
past.’"
III,241,235,1,,none,"Hair dye substance
in non-oxidative
hair dye products","0,15 %",0.15,%,,,"— Do not use with nitrosating agents
— Maximum nitrosamine
content: 50 μg /kg
— Keep in nitrite-free
containers",
III,242,236,1,,none,"Hair dye substance
in non-oxidative
hair dye products","0,2 %",0.2,%,,,"— Do not use with nitrosating agents
— Maximum nitrosamine
content: 50 μg /kg
— Keep in nitrite-free
containers",
III,243,237,1,a,label,"(a) Hair dye
substance in
oxidative hair
dye products",,,,,,"(a) After mixing under
oxidative conditions the
maximum concentration
applied to hair must not
exceed 1,25 % (as
hydrochloride)","(a) To be printed on the label:
The mixing ratio.
‘ Hair colourants can cause
severe allergic reactions.
Read and follow instructions.
This product is not intended for
use on persons under the age
of 16.
Temporary “black henna”
tattoos may increase your risk
of allergy.
Do not colour your hair if:
— you have a rash on your face
or sensitive, irritated and
damaged scalp,
— you have ever experienced
any reaction after colouring
your hair,
— you have experienced a
reaction to a temporary
“black henna” tattoo in the
past.’"
III,243,237,2,b,label,"(b) Hair dye
substance in
non-oxidative
hair dye
products","(b) 2,5 % (as
hydrochloride)",2.5,%,hydrochloride,,,
III,244,238,1,a,label,"(a) Hair dye
substance in
oxidative hair
dye products",,,,,,"(a) After mixing under
oxidative conditions the
maximum concentration
applied to hair must not
exceed 1,0 %","(a) To be printed on the label:
The mixing ratio.
‘ Hair colourants can cause
severe allergic reactions.
Read and follow instructions.
This product is not intended for
use on persons under the age
of 16.
Temporary “black henna”
tattoos may increase your risk
of allergy.
Do not colour your hair if:
— you have a rash on your face
or sensitive, irritated and
damaged scalp,
— you have ever experienced
any reaction after colouring
your hair,
— you have experienced a
reaction to a temporary
“black henna” tattoo in the
past.’"
III,244,238,2,b,label,"(b) Hair dye
substance in
non-oxidative
hair dye
products","(b) 1,0 %",1.0,%,,,,
III,245,239,1,,none,"Hair dye
substance in
oxidative hair dye
products",,,,,,"After mixing under
oxidative conditions the
maximum concentration
applied to hair must not
exceed 0,4 % (as tetrahydrochloride)","To be printed on the label:
The mixing ratio.
‘ Hair colourants can cause
severe allergic reactions.
Read and follow instructions.
This product is not intended for use
on persons under the age of 16.
Temporary “black henna” tattoos
may increase your risk of allergy.
Do not colour your hair if:
— you have a rash on your face or
sensitive, irritated and damaged
scalp,
— you have ever experienced any
reaction after colouring your
hair,
— you have experienced a reaction
to a temporary “black henna”
tattoo in the past.’"
III,246,240,1,,none,"Hair dye
substance in
oxidative hair dye
products",,,,,,"After mixing under
oxidative conditions the
maximum concentration
applied to hair must not
exceed 0,5 %","To be printed on the label:
The mixing ratio.
‘ Hair colorants can cause severe
allergic reactions.
Read and follow instructions.
This product is not intended for use
on persons under the age of 16.
Temporary “black henna” tattoos
may increase your risk of allergy.
Do not colour your hair if:
— you have a rash on your face or
sensitive, irritated and damaged
scalp,
— you have ever experienced any
reaction after colouring your
hair,
— you have experienced a reaction
to a temporary “black henna”
tattoo in the past.’"
III,247,241,1,a,label,"(a) Hair dye
substance in
oxidative hair
dye products
►M4 (b) Products
intended
for
colouring
eyelashes",,,,,,"For (a) and (b): After
mixing under oxidative
conditions the maximum
concentration applied to hair
or eyelashes must not
exceed 1,5 % ◄","►M4 (a) To be printed on the
label:
The mixing ratio.
‘ Hair colorants can
cause severe allergic
reactions.
Read and follow instructions.
This product is not
intended for use on
persons under the age
of 16.
Temporary “black
henna” tattoos may
increase your risk of
allergy.
Do not colour your hair
if:
— you have a rash on
your face or
sensitive, irritated
and damaged scalp,
— you have ever
experienced any
reaction after
colouring your hair,
— you have experienced
a reaction to a
temporary “black
henna” tattoo in the
past.’ ◄
►M4 (b) To be printed on the
label:
The mixing ratio.
‘For professional use
only.
This product can
cause severe allergic
reactions.
Read and follow instructions.
This product is not
intended for use on
persons under the age
of 16.
Temporary “black
henna” tattoos may
increase the risk of
allergy.
Eyelashes shall not be
coloured if the
consumer:
— has a rash on the face
or sensitive, irritated
and damaged scalp,
— has experienced any
reaction after
colouring hair or
eyelashes,
— has experienced a
reaction to a
temporary “black
henna” tattoo in the
past.
Rinse eyes immediately
if product comes into
contact with them.’ ◄"
III,247,241,2,b,label,,,,,,,"For (a) and (b): After
mixing under oxidative
conditions the maximum
concentration applied to hair
or eyelashes must not
exceed 1,5 % ◄
(b) For professional use
only. ◄","►M4 (a) To be printed on the
label:
The mixing ratio.
‘ Hair colorants can
cause severe allergic
reactions.
Read and follow instructions.
This product is not
intended for use on
persons under the age
of 16.
Temporary “black
henna” tattoos may
increase your risk of
allergy.
Do not colour your hair
if:
— you have a rash on
your face or
sensitive, irritated
and damaged scalp,
— you have ever
experienced any
reaction after
colouring your hair,
— you have experienced
a reaction to a
temporary “black
henna” tattoo in the
past.’ ◄
►M4 (b) To be printed on the
label:
The mixing ratio.
‘For professional use
only.
This product can
cause severe allergic
reactions.
Read and follow instructions.
This product is not
intended for use on
persons under the age
of 16.
Temporary “black
henna” tattoos may
increase the risk of
allergy.
Eyelashes shall not be
coloured if the
consumer:
— has a rash on the face
or sensitive, irritated
and damaged scalp,
— has experienced any
reaction after
colouring hair or
eyelashes,
— has experienced a
reaction to a
temporary “black
henna” tattoo in the
past.
Rinse eyes immediately
if product comes into
contact with them.’ ◄"
III,248,242,1,a,label,"(a) Hair dye
substance in
oxidative hair
dye products
►M4 (b) Products
intended
for
colouring
eyelashes",,,,,,"For (a) and (b): After
mixing under oxidative
conditions the maximum
concentration applied to hair
or eyelashes must not
exceed 2,0 % (as
hydrochloride) ◄","►M4 (a) To be printed on the
label:
The mixing ratio.
‘ Hair colorants can
cause severe allergic
reactions.
Read and follow instructions.
This product is not
intended for use on
persons under the age
of 16.
Temporary “black
henna” tattoos may
increase your risk of
allergy.
Do not colour your hair
if:
— you have a rash on
your face or
sensitive, irritated
and damaged scalp,
— you have ever
experienced any
reaction after
colouring your hair,
— you have experienced
a reaction to a
temporary “black
henna” tattoo in the
past.’ ◄
►M4 (b) To be printed on the
label:
The mixing ratio.
‘For professional use
only.
This product can
cause severe allergic
reactions.
Read and follow instructions.
This product is not
intended for use on
persons under the age
of 16.
Temporary “black
henna” tattoos may
increase the risk of
allergy.
Eyelashes shall not be
coloured if the consumer:
— has a rash on the face
or sensitive, irritated
and damaged scalp,
— has experienced any
reaction after
colouring hair or
eyelashes,
— has experienced a
reaction to a
temporary “black
henna” tattoo in the
past.
Rinse eyes immediately if
product comes into
contact with them.’ ◄"
III,248,242,2,b,label,,,,,,,"For (a) and (b): After
mixing under oxidative
conditions the maximum
concentration applied to hair
or eyelashes must not
exceed 2,0 % (as
hydrochloride) ◄
(b) For professional use
only. ◄","►M4 (a) To be printed on the
label:
The mixing ratio.
‘ Hair colorants can
cause severe allergic
reactions.
Read and follow instructions.
This product is not
intended for use on
persons under the age
of 16.
Temporary “black
henna” tattoos may
increase your risk of
allergy.
Do not colour your hair
if:
— you have a rash on
your face or
sensitive, irritated
and damaged scalp,
— you have ever
experienced any
reaction after
colouring your hair,
— you have experienced
a reaction to a
temporary “black
henna” tattoo in the
past.’ ◄
►M4 (b) To be printed on the
label:
The mixing ratio.
‘For professional use
only.
This product can
cause severe allergic
reactions.
Read and follow instructions.
This product is not
intended for use on
persons under the age
of 16.
Temporary “black
henna” tattoos may
increase the risk of
allergy.
Eyelashes shall not be
coloured if the consumer:
— has a rash on the face
or sensitive, irritated
and damaged scalp,
— has experienced any
reaction after
colouring hair or
eyelashes,
— has experienced a
reaction to a
temporary “black
henna” tattoo in the
past.
Rinse eyes immediately if
product comes into
contact with them.’ ◄"
III,249,243,1,a,label,"(a) Hair dye
substance in
oxidative hair
dye products",,,,,,"(a) After mixing under
oxidative conditions the
maximum concentration
applied to hair must not
exceed 1,8 %","(a) To be printed on the label:
The mixing ratio.
‘ Hair colourants can cause
severe allergic reactions.
Read and follow instructions.
This product is not intended for
use on persons under the age
of 16.
Temporary “black henna”
tattoos may increase your risk
of allergy.
Do not colour your hair if:
— you have a rash on your
face or sensitive, irritated
and damaged scalp,
— you have ever experienced
any reaction after colouring
your hair,
— you have experienced a
reaction to a temporary
“black h.enna” tattoo in the
past.’"
III,249,243,2,b,label,"(b) Hair dye
substance in
non-oxidative
hair dye
products","(b) 1,8 %",1.8,%,,,,
III,249,243,3,c,label,"(c) Products
intended for
colouring
eyelashes",,,,,,"(c) After mixing under
oxidative conditions the
maximum concentration
applied to eyelashes
must not exceed 1,25 %
(c) Professional use","(c) As from 3 March 2018, to be
printed on the label:
The mixing ratio.
‘ This product can cause
severe allergic reactions. Read
and follow instructions.
This product is not intended for
use on persons under the age of
16. Temporary “black henna”
tattoos may increase the risk of
allergy.
Eyelashes shall not be coloured
if the consumer:
— has a rash on the face or
sensitive, irritated and
damaged scalp,
— has experienced any
reaction after colouring hair
or eyelashes,
— has experienced a reaction
to a temporary “black
henna” tattoo in the past.
For professional use only.
Rinse eyes immediately if
product comes into contact with
them’."
III,250,244,1,a,label,"(a) Hair dye
substance in
oxidative hair
dye products
►M4 (b) Products
intended
for
colouring
eyelashes",,,,,,"For (a) and (b): After
mixing under oxidative
conditions the maximum
concentration applied to hair
or eyelashes must not
exceed 1,5 % ◄","►M4 (a) To be printed on the
label:
The mixing ratio.
‘ Hair colorants can
cause severe allergic
reactions.
Read and follow instructions.
This product is not
intended for use on
persons under the age
of 16.
Temporary “black
henna” tattoos may
increase your risk of
allergy.
Do not colour your hair
if:
— you have a rash on
your face or
sensitive, irritated
and damaged scalp,
— you have ever
experienced any
reaction after
colouring your hair,
— you have experienced
a reaction to a
temporary “black
henna” tattoo in the
past.’ ◄
►M4 (b) To be printed on the
label:
The mixing ratio.
‘For professional use
only.
This product can
cause severe allergic
reactions.
Read and follow instructions.
This product is not
intended for use on
persons under the age
of 16.
Temporary “black
henna” tattoos may
increase the risk of
allergy.
Eyelashes shall not be
coloured if the
consumer:
— has a rash on the face
or sensitive, irritated
and damaged scalp,
— has experienced any
reaction after
colouring hair or
eyelashes,
— has experienced a
reaction to a
temporary “black
henna” tattoo in the
past.
Rinse eyes immediately
if product comes into
contact with them.’ ◄"
III,250,244,2,b,label,,,,,,,"For (a) and (b): After
mixing under oxidative
conditions the maximum
concentration applied to hair
or eyelashes must not
exceed 1,5 % ◄
(b) For professional use
only. ◄","►M4 (a) To be printed on the
label:
The mixing ratio.
‘ Hair colorants can
cause severe allergic
reactions.
Read and follow instructions.
This product is not
intended for use on
persons under the age
of 16.
Temporary “black
henna” tattoos may
increase your risk of
allergy.
Do not colour your hair
if:
— you have a rash on
your face or
sensitive, irritated
and damaged scalp,
— you have ever
experienced any
reaction after
colouring your hair,
— you have experienced
a reaction to a
temporary “black
henna” tattoo in the
past.’ ◄
►M4 (b) To be printed on the
label:
The mixing ratio.
‘For professional use
only.
This product can
cause severe allergic
reactions.
Read and follow instructions.
This product is not
intended for use on
persons under the age
of 16.
Temporary “black
henna” tattoos may
increase the risk of
allergy.
Eyelashes shall not be
coloured if the
consumer:
— has a rash on the face
or sensitive, irritated
and damaged scalp,
— has experienced any
reaction after
colouring hair or
eyelashes,
— has experienced a
reaction to a
temporary “black
henna” tattoo in the
past.
Rinse eyes immediately
if product comes into
contact with them.’ ◄"
III,251,245,1,a,label,"(a) Hair dye
substance in
oxidative hair
dye products
►M4 (b) Products
intended
for
colouring
eyelashes",,,,,,"For (a) and (b): After
mixing under oxidative
conditions the maximum
concentration applied to hair
or eyelashes must not
exceed 1,5 % (as sulphate)
— Do not use with nitrosating agents
— Maximum nitrosamine
content: 50 μg /kg
— Keep in nitrite-free
containers ◄","►M4 (a) To be printed on the
label:
The mixing ratio.
‘ Hair colorants can
cause severe allergic
reactions.
Read and follow instructions.
This product is not
intended for use on
persons under the age
of 16.
Temporary “black
henna” tattoos may
increase your risk of
allergy.
Do not colour your hair
if:
— you have a rash on
your face or
sensitive, irritated
and damaged scalp,
— you have ever
experienced any
reaction after
colouring your hair,
— you have experienced
a reaction to a
temporary “black
henna” tattoo in the
past.’ ◄
►M4 (b) To be printed on the
label:
The mixing ratio.
‘For professional use
only.
This product can
cause severe allergic
reactions.
Read and follow instructions.
This product is not
intended for use on
persons under the age
of 16.
Temporary “black
henna” tattoos may
increase the risk of
allergy.
Eyelashes shall not be
coloured if the consumer:
— has a rash on the face
or sensitive, irritated
and damaged scalp,
— has experienced any
reaction after
colouring hair or
eyelashes,
— has experienced a
reaction to a
temporary “black
henna” tattoo in the
past.
Rinse eyes immediately if
product comes into
contact with them.’ ◄"
III,251,245,2,b,label,,,,,,,"For (a) and (b): After
mixing under oxidative
conditions the maximum
concentration applied to hair
or eyelashes must not
exceed 1,5 % (as sulphate)
— Do not use with nitrosating agents
— Maximum nitrosamine
content: 50 μg /kg
— Keep in nitrite-free
containers ◄
(b) For professional use
only. ◄","►M4 (a) To be printed on the
label:
The mixing ratio.
‘ Hair colorants can
cause severe allergic
reactions.
Read and follow instructions.
This product is not
intended for use on
persons under the age
of 16.
Temporary “black
henna” tattoos may
increase your risk of
allergy.
Do not colour your hair
if:
— you have a rash on
your face or
sensitive, irritated
and damaged scalp,
— you have ever
experienced any
reaction after
colouring your hair,
— you have experienced
a reaction to a
temporary “black
henna” tattoo in the
past.’ ◄
►M4 (b) To be printed on the
label:
The mixing ratio.
‘For professional use
only.
This product can
cause severe allergic
reactions.
Read and follow instructions.
This product is not
intended for use on
persons under the age
of 16.
Temporary “black
henna” tattoos may
increase the risk of
allergy.
Eyelashes shall not be
coloured if the consumer:
— has a rash on the face
or sensitive, irritated
and damaged scalp,
— has experienced any
reaction after
colouring hair or
eyelashes,
— has experienced a
reaction to a
temporary “black
henna” tattoo in the
past.
Rinse eyes immediately if
product comes into
contact with them.’ ◄"
III,252,246,1,,none,"Hair dye
substance in
oxidative hair dye
products",,,,,,"After mixing under
oxidative conditions the
maximum concentration
applied to hair must not
exceed 1,5 %
— Do not use with nitrosating agents
— Maximum nitrosamine
content: 50 μg /kg
— Keep in nitrite-free
containers","To be printed on the label:
The mixing ratio.
‘ Hair colourants can cause
severe allergic reactions.
Read and follow instructions.
This product is not intended for use
on persons under the age of 16.
Temporary “black henna” tattoos
may increase your risk of allergy.
Do not colour your hair if:
— you have a rash on your face or
sensitive, irritated and damaged
scalp,
— you have ever experienced any
reaction after colouring your
hair,
— you have experienced a reaction
to a temporary “black henna”
tattoo in the past.’"
III,253,247,1,,none,"Hair dye substance
in non-oxidative
hair dye products","2,8 %",2.8,%,,,"— Do not use with nitrosating agents
— Maximum nitrosamine
content: 50 μg /kg
— Keep in nitrite-free
containers",Can cause allergic reaction
III,254,248,1,a,label,"(a) Hair dye
substance in
oxidative hair
dye products",,,,,,"(a) After mixing under
oxidative conditions the
maximum concentration
applied to hair must not
exceed 3,0 %
For (a) and (b):
— Do not use with nitrosating agents
— Maximum nitrosamine
content: 50 μg /kg
— Keep in nitrite-free
containers","(a) To be printed on the label:
The mixing ratio.
‘ Hair colourants can cause
severe allergic reactions.
Read and follow instructions.
This product is not intended for
use on persons under the age
of 16.
Temporary “black henna”
tattoos may increase your risk
of allergy.
Do not colour your hair if:
— you have a rash on your face
or sensitive, irritated and
damaged scalp,
— you have ever experienced
any reaction after colouring
your hair,
— you have experienced a
reaction to a temporary
“black henna” tattoo in the
past.’"
III,254,248,2,b,label,"(b) Hair dye
substance in
non-oxidative
hair dye
products","(b) 1,85 %",1.85,%,,,,"(b) ‘ Hair colourants can cause
severe allergic reactions.
Read and follow instructions.
This product is not intended for
use on persons under the age
of 16.
Temporary “black henna”
tattoos may increase your risk
of allergy.
Do not colour your hair if:
— you have a rash on your face
or sensitive, irritated and
damaged scalp,
— you have ever experienced
any reaction after colouring
your hair,
— you have experienced a
reaction to a temporary
“black henna” tattoo in the
past.’"
III,255,249,1,a,label,"(a) Hair dye
substance in
oxidative hair
dye products",,,,,,"(a) After mixing under
oxidative conditions the
maximum concentration
applied to hair must not
exceed 0,25 %
For (a) and (b):
— Do not use with nitrosating agents
— Maximum nitrosamine
content: 50 μg /kg
— Keep in nitrite-free
containers","(a) To be printed on the label:
The mixing ratio.
‘ Hair colourants can cause
severe allergic reactions.
Read and follow instructions.
This product is not intended for
use on persons under the age
of 16.
Temporary “black henna” tattoos
may increase your risk of
allergy.
Do not colour your hair if:
— you have a rash on your face
or sensitive, irritated and
damaged scalp,
— you have ever experienced
any reaction after colouring
your hair,
— you have experienced a
reaction to a temporary
“black henna” tattoo in the
past.’"
III,255,249,2,b,label,"(b) Hair dye
substance in
non-oxidative
hair dye
products","(b) 0,5 %",0.5,%,,,,
III,256,250,1,a,label,"(a) Hair dye
substance in
oxidative hair
dye products",,,,,,"(a) After mixing under
oxidative conditions the
maximum concentration
applied to hair must not
exceed 1,0 %
For (a) and (b):
— Do not use with nitrosating agents
— Maximum nitrosamine
content: 50 μg/kg
— Keep in nitrite-free
containers","(a) To be printed on the label:
The mixing ratio.
‘ Hair colorants can cause
severe allergic reactions.
Read and follow instructions.
This product is not intended for
use on persons under the age
of 16.
Temporary “black henna”
tattoos may increase your risk
of allergy.
Do not colour your hair if:
— you have a rash on your face
or sensitive, irritated and
damaged scalp,
— you have ever experienced
any reaction after colouring
your hair,
— you have experienced a
reaction to a temporary
“black henna” tattoo in the
past.’"
III,256,250,2,b,label,"(b) Hair dye
substance in
non-oxidative
hair dye
products","(b) 2,0 %",2.0,%,,,,
III,257,251,1,,none,"Hair dye substance
in non-oxidative
hair dye products","1,0 %",1.0,%,,,"— Do not use with nitrosating agents
— Maximum nitrosamine
content: 50 μg/kg
— Keep in nitrite-free
containers","‘ Hair colorants can cause severe
allergic reactions.
Read and follow instructions.
This product is not intended for use
on persons under the age of 16.
Temporary “black henna” tattoos
may increase your risk of allergy.
Do not colour your hair if:
— you have a rash on your face or
sensitive, irritated and damaged
scalp,
— you have ever experienced any
reaction after colouring your
hair,
— you have experienced a reaction
to a temporary “black henna”
tattoo in the past.’"
III,258,252,1,a,label,"(a) Hair dye
substance in
oxidative hair
dye products",,,,,,"(a) After mixing under
oxidative conditions the
maximum concentration
applied to hair must not
exceed 2,0 %","(a) To be printed on the label:
The mixing ratio.
‘ Hair colourants can cause
severe allergic reactions.
Read and follow instructions.
This product is not intended for
use on persons under the age
of 16.
Temporary “black henna”
tattoos may increase your risk
of allergy.
Do not colour your hair if:
— you have a rash on your face
or sensitive, irritated and
damaged scalp,
— you have ever experienced
any reaction after colouring
your hair,
— you have experienced a
reaction to a temporary
“black henna” tattoo in the
past.’"
III,258,252,2,b,label,"(b) Hair dye
substance in
non-oxidative
hair dye
products","(b) 2,0 %",2.0,%,,,,"(b) ‘ Hair colourants can cause
severe allergic reactions.
Read and follow instructions.
This product is not intended for
use on persons under the age
of 16.
Temporary “black henna”
tattoos may increase your risk
of allergy.
Do not colour your hair if:
— you have a rash on your face
or sensitive, irritated and
damaged scalp,
— you have ever experienced
any reaction after colouring
your hair,
— you have experienced a
reaction to a temporary
“black henna” tattoo in the
past.’"
III,259,253,1,,none,"Hair dye substance
in non-oxidative
hair dye products","1,5 %",1.5,%,,,"— Do not use with nitrosating agents
— Maximum nitrosamine
content: 50 μg/kg
— Keep in nitrite-free
containers",
III,260,254,1,,none,"Hair dye substance
in non-oxidative
hair dye products","0,5 %",0.5,%,,,,
III,261,255,1,a,label,"(a) Hair dye
substance in
oxidative hair
dye products",,,,,,"(a) After mixing under
oxidative conditions the
maximum concentration
applied to hair must not
exceed 0,75 %
For (a) and (b):
— Do not use with nitrosating agents
— Maximum nitrosamine
content: 50 μg/kg
— Keep in nitrite-free
containers","(a) To be printed on the label:
The mixing ratio.
‘ Hair colorants can cause
severe allergic reactions.
Read and follow instructions.
This product is not intended for
use on persons under the age
of 16.
Temporary “black henna”
tattoos may increase your risk
of allergy.
Do not colour your hair if:
— you have a rash on your face
or sensitive, irritated and
damaged scalp,
— you have ever experienced
any reaction after colouring
your hair,
— you have experienced a
reaction to a temporary
“black henna” tattoo in the
past.’"
III,261,255,2,b,label,"(b) Hair dye
substance in
non-oxidative
hair dye
products","b) 1,0 %",1.0,%,,,,
III,262,256,1,,none,"Hair dye substance
in non-oxidative
hair dye products","1,0 %",1.0,%,,,,
III,263,257,1,a,label,"(a) Leave-on
products","(a) 3,0 %",3.0,%,,,,
III,263,257,2,b,label,"(b) Rinse-off
products","(b) 4,0 %",4.0,%,,,,
III,264,258,1,,none,"Hair dye substance
in non-oxidative
hair dye products","1,0 %",1.0,%,,,,"‘ Hair colorants can cause severe
allergic reactions.
Read and follow instructions.
This product is not intended for use
on persons under the age of 16.
Temporary “black henna” tattoos
may increase your risk of allergy.
Do not colour your hair if:
— you have a rash on your face or
sensitive, irritated and damaged
scalp,
— you have ever experienced any
reaction after colouring your
hair,
— you have experienced a reaction
to a temporary “black henna”
tattoo in the past.’"
III,265,259,1,,gap,Hair dye substance,"0,5 % (calculated as",0.5,%,,,"— Do not use with nitrosating agents
— Maximum nitrosamine
content: 50 μg/kg
— Keep in nitrite-free
containers",
III,265,259,2,,gap,in non-oxidative,,,,,,"— Do not use with nitrosating agents
— Maximum nitrosamine
content: 50 μg/kg
— Keep in nitrite-free
containers",
III,265,259,3,,gap,hair dye products,hydrochloride),,,,,"— Do not use with nitrosating agents
— Maximum nitrosamine
content: 50 μg/kg
— Keep in nitrite-free
containers",
III,266,260,1,,none,"Hair dye substance
in non-oxidative
hair dye products","0,25 %",0.25,%,,,,
III,267,261,1,a,label,"(a) Hair dye
substance in
oxidative hair
dye products",,,,,,"(a) After mixing under
oxidative conditions the
maximum concentration
applied to hair must not
exceed 2,5 %
For (a) and (b):
— Do not use with nitrosating agents
— Maximum nitrosamine
content: 50 μg/kg
— Keep in nitrite-free
containers","(a) To be printed on the label:
The mixing ratio.
‘ Hair colorants can cause
severe allergic reactions.
Read and follow instructions.
This product is not intended for
use on persons under the age
of 16.
Temporary “black henna”
tattoos may increase your risk
of allergy.
Do not colour your hair if:
— you have a rash on your face
or sensitive, irritated and
damaged scalp,
— you have ever experienced
any reaction after colouring
your hair,
— you have experienced a
reaction to a temporary
“black henna” tattoo in the
past.’"
III,267,261,2,b,label,"(b) Hair dye
substance in
non-oxidative
hair dye
products","(b) 2,5 %",2.5,%,,,,
III,268,262,1,,none,"Hair dye substance
in non-oxidative
hair dye products","2,0 %",2.0,%,,,,
III,269,263,1,,none,"Hair dye substance
in non-oxidative
hair dye products","0,3 % (of the
mixture in the
ratio 1:1 of
2,2’-[4-(4-aminophenylazo)
phenylimino]
diethanol and
lignosulfate)",0.3,%,,,,
III,270,264,1,,none,"Hair dye substance
in non-oxidative
hair dye products","0,3 %",0.3,%,,,"— Do not use with nitrosating agents
— Maximum nitrosamine
content: 50 μg/kg
— Keep in nitrite-free
containers",
III,271,265,1,,none,"Hair dye substance
in non-oxidative
hair dye products","0,5 %",0.5,%,,,"Impurity of Disperse Red 15
in Disperse Violet 1 for hair
dye formulations should be
< 1 % (w/w)",
III,272,266,1,a,label,"(a) Hair dye
substance in
oxidative hair
dye products",,,,,,"(a) After mixing under
oxidative conditions the
maximum concentration
applied to hair must not
exceed 0,45 %
For (a) and (b):
— Do not use with nitrosating agents
— Maximum nitrosamine
content: 50 μg/kg
— Keep in nitrite-free
containers","For (a): To be printed on the label:
The mixing ratio.
For (a) and (b):
‘ Hair colorants can cause severe
allergic reactions. Read and follow
instructions. This product is not
intended for use on persons under
the age of 16.
Temporary “black henna” tattoos
may increase your risk of allergy.
Do not colour your hair if:
— you have a rash on your face or
sensitive, irritated and damaged
scalp,
— you have ever experienced any
reaction after colouring your
hair,
— you have experienced a reaction
to a temporary “black henna”
tattoo in the past.’"
III,272,266,2,b,label,"(b) Hair dye
substance in
non-oxidative
hair dye
products","(b) 3,0 %",3.0,%,,,,"For (a): To be printed on the label:
The mixing ratio.
For (a) and (b):
‘ Hair colorants can cause severe
allergic reactions. Read and follow
instructions. This product is not
intended for use on persons under
the age of 16.
Temporary “black henna” tattoos
may increase your risk of allergy.
Do not colour your hair if:
— you have a rash on your face or
sensitive, irritated and damaged
scalp,
— you have ever experienced any
reaction after colouring your
hair,
— you have experienced a reaction
to a temporary “black henna”
tattoo in the past.’"
III,273,267,1,,none,"Hair dye substance
in non-oxidative
hair dye products","2,0 %",2.0,%,,,,
